,ros_time,joy_switch,icp_index,cmd_left_vel,meas_left_vel,cmd_right_vel,meas_right_vel,icp_pos_x,icp_pos_y,icp_quat_x,icp_quat_y,icp_quat_z,icp_quat_w,voltage_left,current_left,voltage_right,current_right
4840,1637093566817920106,False,2171,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.425208657038872,17.335546493530273,6.570367813110352,0.0014132414562483926,-0.0013343767579490824,-0.9999976381631617,0.0009813971597013398,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4841,1637093566889988055,False,2172,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.425208657038872,17.293758392333984,6.5727338790893555,0.0025458176745746033,-0.0012750672865752453,-0.9995179206420925,0.03091739093047592,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4842,1637093566912998819,False,2172,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.425208657038872,17.293758392333984,6.5727338790893555,0.0025458176745746033,-0.0012750672865752453,-0.9995179206420925,0.03091739093047592,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4843,1637093566963356676,False,2173,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.425208657038872,17.25485610961914,6.574941635131836,0.003433695843355184,-0.00082475187888033,-0.9981080426547458,0.06138320674375971,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4844,1637093567013705957,False,2173,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.4077553645189282,17.25485610961914,6.574941635131836,0.003433695843355184,-0.00082475187888033,-0.9981080426547458,0.06138320674375971,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4845,1637093567064024151,False,2173,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.4077553645189282,17.25485610961914,6.574941635131836,0.003433695843355184,-0.00082475187888033,-0.9981080426547458,0.06138320674375971,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4846,1637093567118473246,False,2174,-0.5833333333333335,-0.08726646259971647,3.916666666666667,3.4077553645189282,17.214345932006836,6.584476470947266,0.002378155955226963,-0.0011223065961129069,-0.9957427434869954,0.09213846440433421,data: 48.375,data: 4.25,data: 48.4375,data: 36.375
4847,1637093567168708005,False,2175,-0.5833333333333335,-0.008726646259971648,3.916666666666667,3.4077553645189282,17.16243553161621,6.577347755432129,0.002559794209985595,-0.0017623419298336933,-0.9924224890630673,0.1228330670915523,data: 48.125,data: 5.3125,data: 48.4375,data: 36.375
4848,1637093567219001914,False,2175,-0.5833333333333335,-0.008726646259971648,3.916666666666667,3.4077553645189282,17.16243553161621,6.577347755432129,0.002559794209985595,-0.0017623419298336933,-0.9924224890630673,0.1228330670915523,data: 48.125,data: 5.3125,data: 48.4375,data: 36.375
4849,1637093567269300039,False,2176,-0.5833333333333335,-0.008726646259971648,3.916666666666667,3.5037484733786166,17.11498260498047,6.56373929977417,0.002536730334651031,-0.002991921328124127,-0.9881429311583928,0.15348687348610562,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4850,1637093567322355062,False,2177,-0.5833333333333335,-0.008726646259971648,3.916666666666667,3.5037484733786166,17.066682815551758,6.561362266540527,0.00237540744773421,-0.002378910337880712,-0.9829310695888768,0.18394370673340682,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4851,1637093567372657685,False,2177,-0.5833333333333335,-0.008726646259971648,3.916666666666667,3.5037484733786166,17.066682815551758,6.561362266540527,0.00237540744773421,-0.002378910337880712,-0.9829310695888768,0.18394370673340682,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4852,1637093567412883836,False,2178,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.5037484733786166,17.037599563598633,6.5525641441345215,0.002154365277798106,-0.0027941011999038715,-0.9767153810996194,0.21451028738029354,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4853,1637093567463208420,False,2178,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.5037484733786166,17.037599563598633,6.5525641441345215,0.002154365277798106,-0.0027941011999038715,-0.9767153810996194,0.21451028738029354,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4854,1637093567513506179,False,2179,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.57356164345839,16.989511489868164,6.532129764556885,0.0013538870628026548,-0.0033622883845218668,-0.9695055998944906,0.24504251662690543,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4855,1637093567563845551,False,2179,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.57356164345839,16.989511489868164,6.532129764556885,0.0013538870628026548,-0.0033622883845218668,-0.9695055998944906,0.24504251662690543,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4856,1637093567614102922,False,2179,-0.5833333333333335,-0.017453292519943295,3.916666666666667,3.57356164345839,16.989511489868164,6.532129764556885,0.0013538870628026548,-0.0033622883845218668,-0.9695055998944906,0.24504251662690543,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4857,1637093567664395231,False,2180,-0.5833333333333335,-0.08290313946973066,3.916666666666667,3.57356164345839,16.942798614501953,6.510988235473633,0.0038220327623528917,-0.0034480569351872195,-0.961605708081589,0.27438673565206456,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4858,1637093567717944723,False,2180,-0.5833333333333335,-0.08290313946973066,3.916666666666667,3.57356164345839,16.942798614501953,6.510988235473633,0.0038220327623528917,-0.0034480569351872195,-0.961605708081589,0.27438673565206456,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4859,1637093567768363764,False,2181,-0.5833333333333335,-0.08290313946973066,3.916666666666667,3.634648167278191,16.904699325561523,6.49056339263916,0.005038527284427799,-0.0034399386749936257,-0.9524736054585607,0.30456032762456964,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4860,1637093567818643679,False,2181,-0.5833333333333335,-0.08290313946973066,3.916666666666667,3.634648167278191,16.904699325561523,6.49056339263916,0.005038527284427799,-0.0034399386749936257,-0.9524736054585607,0.30456032762456964,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4861,1637093567868840304,False,2182,-0.5833333333333335,-0.08290313946973066,3.916666666666667,3.634648167278191,16.859567642211914,6.469050407409668,0.008276974065707121,-0.005164855558824774,-0.9416462208559359,0.3364629870899997,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4862,1637093567922711024,False,2183,-0.5833333333333335,-0.030543261909900768,3.916666666666667,3.634648167278191,16.81787109375,6.439009189605713,0.01100697176698557,-0.003874145950171276,-0.9302077881119779,0.366847834250645,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4863,1637093567962935377,False,2183,-0.5833333333333335,-0.030543261909900768,3.916666666666667,3.634648167278191,16.81787109375,6.439009189605713,0.01100697176698557,-0.003874145950171276,-0.9302077881119779,0.366847834250645,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4864,1637093568013230841,False,2184,-0.5833333333333335,-0.030543261909900768,3.916666666666667,3.6870080448380214,16.782875061035156,6.402801036834717,0.011548496544228534,-0.003921597069802382,-0.918359373052898,0.3955594926699738,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4865,1637093568063566102,False,2184,-0.5833333333333335,-0.030543261909900768,3.916666666666667,3.6870080448380214,16.782875061035156,6.402801036834717,0.011548496544228534,-0.003921597069802382,-0.918359373052898,0.3955594926699738,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4866,1637093568113860981,False,2185,-0.5833333333333335,-0.030543261909900768,3.916666666666667,3.6870080448380214,16.738807678222656,6.3638386726379395,0.01215129362313405,-0.003400815585761107,-0.9049305436184242,0.42537216519010823,data: 48.125,data: 5.3125,data: 48.3125,data: 36.6875
4867,1637093568164235942,False,2185,-0.5833333333333335,-0.15271630954950383,3.916666666666667,3.6870080448380214,16.738807678222656,6.3638386726379395,0.01215129362313405,-0.003400815585761107,-0.9049305436184242,0.42537216519010823,data: 48.125,data: 6.75,data: 48.3125,data: 36.6875
4868,1637093568214600531,False,2186,-0.5833333333333335,-0.15271630954950383,3.916666666666667,3.6870080448380214,16.70630645751953,6.328883647918701,0.011593422017329904,-0.003220547117930146,-0.8906632632686163,0.45450431291320337,data: 48.125,data: 6.75,data: 48.3125,data: 36.6875
4869,1637093568264888448,False,2186,-0.5833333333333335,-0.15271630954950383,3.916666666666667,3.7262779530078936,16.70630645751953,6.328883647918701,0.011593422017329904,-0.003220547117930146,-0.8906632632686163,0.45450431291320337,data: 48.125,data: 6.75,data: 48.25,data: 36.25
4870,1637093568315601083,False,2187,-0.5833333333333335,-0.15271630954950383,3.916666666666667,3.7262779530078936,16.671022415161133,6.287564277648926,0.012860310704283022,-0.0026339584270223355,-0.8752249105088691,0.48353806093277607,data: 48.125,data: 6.75,data: 48.25,data: 36.25
4871,1637093568365911376,False,2187,-0.5833333333333335,-0.15271630954950383,3.916666666666667,3.7262779530078936,16.671022415161133,6.287564277648926,0.012860310704283022,-0.0026339584270223355,-0.8752249105088691,0.48353806093277607,data: 48.125,data: 6.75,data: 48.25,data: 36.25
4872,1637093568416226235,False,2188,-0.5833333333333335,-0.1090830782496456,3.916666666666667,3.7262779530078936,16.64394760131836,6.245339393615723,0.013824733137071664,-0.0026568466670257858,-0.8586072958802088,0.5124408344681871,data: 48.125,data: 6.75,data: 48.25,data: 36.25
4873,1637093568466529662,False,2188,-0.5833333333333335,-0.1090830782496456,3.916666666666667,3.7262779530078936,16.64394760131836,6.245339393615723,0.013824733137071664,-0.0026568466670257858,-0.8586072958802088,0.5124408344681871,data: 48.125,data: 6.75,data: 48.25,data: 36.25
